season_year,player_id,fga,three_pa,fta,ast,tov,pf_committed,pf_drawn,orb,drb,fgm,three_pm,ftm,fg_pct,three_pct,ft_pct,three_rate,fta_rate,tov_per_fga,ast_to_ratio,minutes_est,g,mpg,fga_per36,three_pa_per36,fta_per36,ast_per36,tov_per36,pf_committed_per36,pf_drawn_per36,orb_per36,drb_per36
2025,player_a_ja_wilson,631,61,290,124,89,0,268,91,318,334,25,248,0.5293185419968305,0.4098360655737705,0.8551724137931035,0.09667194928684628,0.4595879556259905,0.1410459587955626,1.3932584269662922,1247.0,40,31.175,18.216519647153167,1.7610264635124298,8.372093023255815,3.579791499599038,2.569366479550922,0.0,7.736968724939856,2.6271050521251,9.180433039294307
2025,player_aaliyah_edwards,138,9,87,20,41,0,73,47,85,69,0,56,0.5,0.0,0.6436781609195402,0.06521739130434782,0.6304347826086957,0.2971014492753623,0.4878048780487805,533.988,36,14.833,9.303579855727095,0.6067552079822017,5.8653003438279505,1.3483449066271151,2.764107058585586,0.0,4.92145890918897,3.16861053057372,5.730465853165239
2025,player_aaliyah_nye,161,113,17,24,27,0,18,15,51,59,37,14,0.36645962732919257,0.3274336283185841,0.8235294117647058,0.7018633540372671,0.10559006211180125,0.16770186335403728,0.8888888888888888,671.0,44,15.25,8.63785394932936,6.062593144560358,0.9120715350223547,1.2876304023845007,1.4485842026825633,0.0,0.9657228017883757,0.804769001490313,2.736214605067064
2025,player_aari_mcdonald,148,77,51,94,46,0,53,9,38,66,24,40,0.44594594594594594,0.3116883116883117,0.7843137254901961,0.5202702702702703,0.34459459459459457,0.3108108108108108,2.0434782608695654,525.0,20,26.25,10.148571428571428,5.28,3.4971428571428573,6.445714285714286,3.1542857142857144,0.0,3.634285714285714,0.6171428571428572,2.605714285714286
2025,player_aerial_powers,59,18,19,20,11,0,20,10,29,27,7,13,0.4576271186440678,0.3888888888888889,0.6842105263157895,0.3050847457627119,0.3220338983050847,0.1864406779661017,1.8181818181818181,167.0,10,16.7,12.718562874251496,3.8802395209580838,4.095808383233533,4.311377245508982,2.37125748502994,0.0,4.311377245508982,2.155688622754491,6.251497005988024
2025,player_ajae_petty,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,6.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2025,player_alanna_smith,319,160,65,121,65,0,85,65,149,160,53,31,0.5015673981191222,0.33125,0.47692307692307695,0.5015673981191222,0.20376175548589343,0.20376175548589343,1.8615384615384616,1114.008,42,26.524,10.308723097141135,5.1705194217635775,2.1005235150914534,3.910205312708706,2.1005235150914534,0.0,2.7468384428119004,2.1005235150914534,4.815046211517332
2025,player_alexis_prince,3,1,0,1,3,0,0,0,8,1,0,0,0.3333333333333333,0.0,,0.3333333333333333,0.0,1.0,0.3333333333333333,22.0,1,22.0,4.909090909090908,1.6363636363636365,0.0,1.6363636363636365,4.909090909090908,0.0,0.0,0.0,13.090909090909092
2025,player_alissa_pili,25,12,15,3,8,0,10,4,15,13,4,13,0.52,0.3333333333333333,0.8666666666666667,0.48,0.6,0.32,0.375,99.009,19,5.211,9.09008271975275,4.36323970548132,5.45404963185165,1.09080992637033,2.90882647032088,0.0,3.6360330879010996,1.45441323516044,5.45404963185165
2025,player_aliyah_boston,472,33,147,165,81,0,177,108,259,275,7,112,0.5826271186440678,0.21212121212121213,0.7619047619047619,0.06991525423728813,0.3114406779661017,0.1716101694915254,2.037037037037037,1326.9959999999999,44,30.159,12.804861506741544,0.8952551477170995,3.9879547489216245,4.476275738585497,2.197444453487426,0.0,4.8018230650280795,2.9299259379832345,7.02639646238572
