game_id,event_id,event_type,role,raw_name,problem
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,6a6e6a34-e17c-471d-a309-ef5b40ef13bf,shootingfoul,fouler,Lexie,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,23e6126e-bef8-4624-b859-56634067f02e,shootingfoul,fouler,Natasha,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,6c9a10d6-89dc-4c97-8b8f-3216b913fc16,shootingfoul,fouler,Gabby,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,fa4a99cf-a5a6-44d5-875d-e51edbed2f0f,personalfoul,fouler,Natasha,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,925adc29-39d5-429a-aae1-bf549ec5a6d8,personalfoul,fouler,Ezi,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,2305cb88-8dca-480f-b300-3325e443aece,shootingfoul,fouler,Aliyah,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,e6253d9f-236a-4190-86be-78d4ba298e6a,personalfoul,fouler,Gabby,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,11bd68fa-3c2f-4c2f-8c0c-4d24becf187d,shootingfoul,fouler,Skylar,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,4b02adfd-05e4-4537-bb04-74d80b3c2cb3,personalfoul,fouler,Sophie,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,e33e9863-a2d4-426c-99e8-e2f6ce59084b,personalfoul,fouler,Zia,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,c439d3a8-f906-4c67-ad11-248ae1537956,personalfoul,fouler,Damiris,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,025f121e-3be9-48ec-9c7c-79f33f01254a,personalfoul,fouler,Zia,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,05f8cd41-1305-4dc7-ac60-b0a04e2290c0,offensivefoul,fouler,Erica,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,fef3b1a9-ab2d-41df-b529-e3384e28476c,personalfoul,fouler,Kelsey,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,a384ca76-a958-48cb-932a-f1af0a997e4a,offensivefoul,fouler,Damiris,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,608e2913-9a0b-4be7-8ed3-2a4e36eb2021,personalfoul,fouler,Erica,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,9a6a6b4b-5178-4bfe-8a5e-bf380d6e456a,shootingfoul,fouler,Skylar,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,c5d46f4c-e2d9-4956-a2cc-404a6226c9b8,shootingfoul,fouler,Natasha,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,6e3769a0-4571-42e0-a5b0-f012b03e7afb,personalfoul,fouler,Ezi,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,5e178988-9c5f-4fb6-a773-c2486d5c881e,shootingfoul,fouler,Nneka,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,335a1c5c-dc64-405f-bf77-3989ad12e822,shootingfoul,fouler,Damiris,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,6aaa8f3f-b26f-4a6a-8197-9a3b80ea2f34,shootingfoul,fouler,Lexie,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,edff7462-9861-4091-b168-7b04fcc946db,personalfoul,fouler,Lexie,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,1fd503b9-de4c-4453-aaeb-60df0d5c3b4f,shootingfoul,fouler,Natasha,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,7c67ac02-933e-49e2-86a4-6b5399d72ea7,personalfoul,fouler,Kelsey,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,f980c2fe-526b-42ee-b689-2f34be82be8b,offensivefoul,fouler,Alysha,name_not_found
