season_year,player_id,fga,fgm,avg_dist,sd_dist,avg_hx,avg_hy,att_ab3,att_corner3,att_mid,att_paint,att_rim,made_ab3,made_corner3,made_mid,made_paint,made_rim,fg_rim,share_rim,fg_paint,share_paint,fg_mid,share_mid,fg_corner3,share_corner3,fg_ab3,share_ab3,att_left,att_right,left_share
2025,player_a_ja_wilson,631,334,481.8404475469806,72.2468447267822,-42.521394611727416,235.83201267828844,30,601,0,0,0,15,319,0,0,0,,0.0,,0.0,,0.0,0.5307820299500832,0.9524564183835182,0.5,0.04754358161648178,346,285,0.5483359746434231
2025,player_aaliyah_edwards,138,69,507.84222911012625,77.2630498688132,11.079710144927537,241.79710144927537,5,133,0,0,0,0,69,0,0,0,,0.0,,0.0,,0.0,0.518796992481203,0.9637681159420289,0.0,0.036231884057971016,68,70,0.4927536231884058
2025,player_aaliyah_nye,161,59,421.4111083818653,101.00179809387102,48.857142857142854,120.51552795031056,16,145,0,0,0,3,56,0,0,0,,0.0,,0.0,,0.0,0.38620689655172413,0.9006211180124224,0.1875,0.09937888198757763,70,91,0.43478260869565216
2025,player_aari_mcdonald,148,66,419.60477771804767,117.07369957400421,-29.905405405405407,193.93243243243242,31,117,0,0,0,11,55,0,0,0,,0.0,,0.0,,0.0,0.4700854700854701,0.7905405405405406,0.3548387096774194,0.20945945945945946,79,69,0.5337837837837838
2025,player_aerial_powers,59,27,440.84594677152245,102.29539896722372,-39.32203389830509,214.67796610169492,6,53,0,0,0,4,23,0,0,0,,0.0,,0.0,,0.0,0.4339622641509434,0.8983050847457628,0.6666666666666666,0.1016949152542373,34,25,0.576271186440678
2025,player_alanna_smith,319,160,445.5356750965159,118.50774126184561,-2.1630094043887147,194.8808777429467,70,248,1,0,0,24,136,0,0,0,,0.0,,0.0,0.0,0.003134796238244514,0.5483870967741935,0.7774294670846394,0.34285714285714286,0.219435736677116,163,156,0.5109717868338558
2025,player_alexis_prince,3,1,439.66337133241177,71.18061437587261,-121.33333333333333,196.33333333333334,0,3,0,0,0,0,1,0,0,0,,0.0,,0.0,,0.0,0.3333333333333333,1.0,,0.0,2,1,0.6666666666666666
2025,player_alissa_pili,25,13,446.6486362778762,119.00925957984592,-122.0,205.6,6,19,0,0,0,2,11,0,0,0,,0.0,,0.0,,0.0,0.5789473684210527,0.76,0.3333333333333333,0.24,17,8,0.68
2025,player_aliyah_boston,472,275,514.0342982168676,74.60344420876739,32.25423728813559,255.33262711864407,20,449,3,0,0,5,269,1,0,0,,0.0,,0.0,0.3333333333333333,0.006355932203389831,0.5991091314031181,0.951271186440678,0.25,0.0423728813559322,220,252,0.4661016949152542
2025,player_allisha_gray,526,251,420.1657608756666,117.09378221033035,8.395437262357415,200.32509505703422,123,398,5,0,0,50,198,3,0,0,,0.0,,0.0,0.6,0.009505703422053232,0.49748743718592964,0.7566539923954373,0.4065040650406504,0.2338403041825095,260,266,0.49429657794676807
2025,player_alysha_clark,157,59,432.7127580391081,103.44238572750163,28.095541401273884,149.04458598726114,16,141,0,0,0,5,54,0,0,0,,0.0,,0.0,,0.0,0.3829787234042553,0.8980891719745223,0.3125,0.10191082802547771,73,84,0.46496815286624205
2025,player_alyssa_thomas,427,244,507.0139911262533,60.64202796150873,-37.9344262295082,262.6346604215457,4,422,1,0,0,0,244,0,0,0,,0.0,,0.0,0.0,0.00234192037470726,0.5781990521327014,0.9882903981264637,0.0,0.00936768149882904,232,195,0.5433255269320844
2025,player_amy_okonkwo,59,30,431.71712904725405,109.58754245402989,-38.779661016949156,186.27118644067798,8,51,0,0,0,4,26,0,0,0,,0.0,,0.0,,0.0,0.5098039215686274,0.864406779661017,0.5,0.13559322033898305,33,26,0.559322033898305
2025,player_aneesah_morrow,271,112,470.22536101520166,106.398199851651,33.82656826568266,216.43173431734317,36,234,1,0,0,9,103,0,0,0,,0.0,,0.0,0.0,0.0036900369003690036,0.44017094017094016,0.8634686346863468,0.25,0.13284132841328414,126,145,0.46494464944649444
2025,player_angel_reese,281,156,530.5296871600393,72.97160755990984,74.73309608540926,266.33807829181495,13,268,0,0,0,2,154,0,0,0,,0.0,,0.0,,0.0,0.5746268656716418,0.9537366548042705,0.15384615384615385,0.046263345195729534,119,162,0.4234875444839858
2025,player_ariel_atkins,348,162,417.7806076467841,99.6804494986356,34.548850574712645,190.96264367816093,52,292,4,0,0,14,148,0,0,0,,0.0,,0.0,0.0,0.011494252873563218,0.5068493150684932,0.8390804597701149,0.2692307692307692,0.14942528735632185,163,185,0.46839080459770116
2025,player_arike_ogunbowale,393,147,415.5362737237522,97.15582701459846,14.04325699745547,181.87786259541986,59,332,2,0,0,15,132,0,0,0,,0.0,,0.0,0.0,0.005089058524173028,0.39759036144578314,0.8447837150127226,0.2542372881355932,0.15012722646310434,192,201,0.48854961832061067
2025,player_aziaha_james,273,106,447.89146927466015,99.04440975144358,23.457875457875456,180.73260073260073,29,241,2,1,0,10,96,0,0,0,,0.0,0.0,0.003663003663003663,0.0,0.007326007326007326,0.3983402489626556,0.8827838827838828,0.3448275862068966,0.10622710622710622,130,143,0.47619047619047616
2025,player_azura_stevens,403,204,453.15616975828453,111.70074605939172,16.18610421836228,181.65508684863525,49,352,2,0,0,14,190,0,0,0,,0.0,,0.0,0.0,0.004962779156327543,0.5397727272727273,0.8734491315136477,0.2857142857142857,0.12158808933002481,193,210,0.47890818858560796
