game_id,event_type,bucket,description
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Nneka Ogwumike personal foul (Aliyah Boston draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Erica Wheeler personal foul (Sydney Colson draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Ezi Magbegor shooting foul (Kelsey Mitchell draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Damiris Dantas personal foul (Erica Wheeler draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Zia Cooke personal foul (Lexie Hull draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Brianna Turner personal foul (Loose ball) (Dominique Malonga draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Lexie Hull personal foul (Nneka Ogwumike draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Skylar Diggins personal foul (Kelsey Mitchell draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Caitlin Clark shooting foul (Skylar Diggins draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Caitlin Clark shooting foul (Erica Wheeler draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Erica Wheeler personal foul (Caitlin Clark draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Kelsey Mitchell personal foul (Skylar Diggins draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Ezi Magbegor personal foul (Aliyah Boston draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Skylar Diggins personal foul (Lexie Hull draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Aliyah Boston personal foul (Jackie Young draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Chelsea Gray personal foul (Natasha Howard draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Lexie Hull personal foul (Jackie Young draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,A'ja Wilson personal foul (Aari McDonald draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,NaLyssa Smith shooting foul (Kelsey Mitchell draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Aari McDonald personal foul (Jackie Young draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Sydney Colson shooting foul (Jackie Young draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Makayla Timpson shooting foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Kelsey Mitchell personal foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Chelsea Gray personal foul (Makayla Timpson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,offensivefoul,foul,Jewell Loyd offensive foul (Sophie Cunningham draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Aaliyah Nye shooting foul (Sydney Colson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Aliyah Boston shooting foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,offensivefoul,foul,Chelsea Gray offensive foul (Kelsey Mitchell draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,A'ja Wilson shooting foul (Aliyah Boston draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Natasha Howard personal foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Aaliyah Nye shooting foul (Natasha Howard draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,offensivefoul,foul,NaLyssa Smith offensive foul (Lexie Hull draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Aaliyah Nye personal foul (Lexie Hull draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Aliyah Boston shooting foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Kelsey Mitchell shooting foul (Jewell Loyd draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Aliyah Boston shooting foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,offensivefoul,foul,Jackie Young offensive foul (Lexie Hull draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Kiah Stokes shooting foul (Kelsey Mitchell draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Makayla Timpson shooting foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Sophie Cunningham personal foul (Kiah Stokes draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Natasha Howard shooting foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Natasha Howard shooting foul (A'ja Wilson draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Jackie Young personal foul (Loose ball) (Natasha Howard draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Natasha Howard shooting foul (NaLyssa Smith draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,NaLyssa Smith personal foul (Lexie Hull draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Jewell Loyd personal foul (Lexie Hull draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,shootingfoul,foul,Dana Evans shooting foul (Aari McDonald draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,NaLyssa Smith personal foul (Aliyah Boston draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,NaLyssa Smith personal foul (Aliyah Boston draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,offensivefoul,foul,A'ja Wilson offensive foul (Lexie Hull draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,technicalfoul,foul,Stephanie White technical foul
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Makayla Timpson personal foul (Loose ball) (NaLyssa Smith draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Sydney Colson personal foul (Aaliyah Nye draws the foul)
01384c8c-e038-4abe-b80a-901c44d112ce,personalfoul,foul,Dana Evans personal foul (Aari McDonald draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Bridget Carleton personal foul (Jackie Young draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,A'ja Wilson personal foul (Kayla McBride draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Jewell Loyd personal foul (Courtney Williams draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Jewell Loyd shooting foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Alanna Smith shooting foul (A'ja Wilson draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,A'ja Wilson shooting foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Maria Kliundikova shooting foul (A'ja Wilson draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Jessica Shepard personal foul (A'ja Wilson draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Courtney Williams personal foul (A'ja Wilson draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Jewell Loyd personal foul (Maria Kliundikova draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,NaLyssa Smith personal foul (Jessica Shepard draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Jackie Young personal foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Napheesa Collier shooting foul (Jackie Young draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Chelsea Gray personal foul (Alanna Smith draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Dana Evans personal foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Napheesa Collier personal foul (A'ja Wilson draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Jackie Young shooting foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,NaLyssa Smith personal foul (Courtney Williams draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,NaLyssa Smith shooting foul (Alanna Smith draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Bridget Carleton shooting foul (Jackie Young draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,technicalfoul,foul,Becky Hammon technical foul
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Jackie Young shooting foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Kierstan Bell shooting foul (Bridget Carleton draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Courtney Williams shooting foul (Kierstan Bell draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Bridget Carleton personal foul (Jackie Young draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Dana Evans personal foul (Alanna Smith draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Jackie Young personal foul (Bridget Carleton draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Megan Gustafson personal foul (Loose ball) (Alanna Smith draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Megan Gustafson shooting foul (Kayla McBride draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Natisha Hiedeman shooting foul (Dana Evans draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Kiah Stokes shooting foul (Natisha Hiedeman draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Dana Evans personal foul (Loose ball) (Jessica Shepard draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Natisha Hiedeman personal foul (Dana Evans draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Megan Gustafson personal foul (Jessica Shepard draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Megan Gustafson personal foul (Jessica Shepard draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Bridget Carleton shooting foul (Aaliyah Nye draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Bridget Carleton shooting foul (Megan Gustafson draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Kiah Stokes shooting foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Kierstan Bell personal foul (Napheesa Collier draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Natisha Hiedeman personal foul (Dana Evans draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Anastasiia Olairi Kosu personal foul (Dana Evans draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Maria Kliundikova personal foul (NaLyssa Smith draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Jewell Loyd shooting foul (Anastasiia Olairi Kosu draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Jewell Loyd shooting foul (Diamond Miller draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,personalfoul,foul,Maria Kliundikova personal foul (NaLyssa Smith draws the foul)
0141c94b-0923-4c3f-8e2f-50513198e128,shootingfoul,foul,Aaliyah Nye shooting foul (Anastasiia Olairi Kosu draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Kathryn Westbeld shooting foul (Nyara Sabally draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Natasha Mack personal foul (Nyara Sabally draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Rebekah Gardner shooting foul (Satou Sabally draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Marine Johannès personal foul (Alyssa Thomas draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Breanna Stewart personal foul (Alyssa Thomas draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Kahleah Copper shooting foul (Natasha Cloud draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,technicalfoul,foul,Natasha Cloud technical foul
02291b17-b5ee-4973-b184-51149f2c1817,offensivefoul,foul,Breanna Stewart offensive foul (Sami Whitcomb draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Kalani Brown personal foul (Breanna Stewart draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Natasha Cloud shooting foul (Monique Akoa Makani draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Kathryn Westbeld shooting foul (Breanna Stewart draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Alyssa Thomas personal foul (Breanna Stewart draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Kahleah Copper personal foul (Natasha Cloud draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Rebekah Gardner shooting foul (Alyssa Thomas draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Monique Akoa Makani personal foul (Nyara Sabally draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Breanna Stewart personal foul (Alyssa Thomas draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Marine Johannès personal foul (Alyssa Thomas draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Natasha Cloud shooting foul (Alyssa Thomas draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Kitija Laksa personal foul (Marine Johannès draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Kitija Laksa shooting foul (Natasha Cloud draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,offensivefoul,foul,Kalani Brown offensive foul (Sabrina Ionescu draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Kitija Laksa shooting foul (Sabrina Ionescu draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Kitija Laksa personal foul (Sabrina Ionescu draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Kalani Brown shooting foul (Marquesha Davis draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Kahleah Copper shooting foul (Jaylyn Sherrod draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Marquesha Davis personal foul (Satou Sabally draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,personalfoul,foul,Kahleah Copper personal foul (Loose ball) (Nyara Sabally draws the foul)
02291b17-b5ee-4973-b184-51149f2c1817,shootingfoul,foul,Natasha Mack shooting foul (Nyara Sabally draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Alysha Clark shooting foul (Marine Johannès draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Breanna Stewart personal foul (Kiki Iriafen draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Emily Engstler shooting foul (Kennedy Burke draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Kennedy Burke shooting foul (Emily Engstler draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Stefanie Dolson shooting foul (Breanna Stewart draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Lucy Olsen shooting foul (Stephanie Talbot draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Emily Engstler shooting foul (Kennedy Burke draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Sug Sutton personal foul (Marine Johannès draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Alysha Clark personal foul (Leonie Fiebich draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Stephanie Talbot personal foul (Sonia Citron draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Sonia Citron shooting foul (Leonie Fiebich draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Alysha Clark personal foul (Leonie Fiebich draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Kennedy Burke personal foul (Alysha Clark draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Lucy Olsen shooting foul (Rebekah Gardner draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Stefanie Dolson personal foul (Rebekah Gardner draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Stefanie Dolson shooting foul (Isabelle Harrison draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Rebekah Gardner personal foul (Alysha Clark draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Shakira Austin personal foul (Stephanie Talbot draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Sug Sutton shooting foul (Stephanie Talbot draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Stephanie Talbot personal foul (Alysha Clark draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Alysha Clark shooting foul (Breanna Stewart draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Breanna Stewart personal foul (Kiki Iriafen draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Leonie Fiebich personal foul (Sonia Citron draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Sonia Citron shooting foul (Kennedy Burke draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Isabelle Harrison shooting foul (Shakira Austin draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,shootingfoul,foul,Emily Engstler shooting foul (Emma Meesseman draws the foul)
0293e78b-c940-41cf-a0cd-7e8477e22e8c,personalfoul,foul,Breanna Stewart personal foul (Take) (Emily Engstler draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Lexie Hull shooting foul (Rickea Jackson draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Dearica Hamby shooting foul (Lexie Hull draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,offensivefoul,foul,Azurá Stevens offensive foul (Sophie Cunningham draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Shey Peddy shooting foul (Sophie Cunningham draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Lexie Hull shooting foul (Dearica Hamby draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Natasha Howard personal foul (Loose ball) (Kelsey Plum draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,offensivefoul,foul,Mercedes Russell offensive foul (Aliyah Boston draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Brianna Turner shooting foul (Emma Cannon draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Emma Cannon shooting foul (Natasha Howard draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Azurá Stevens shooting foul (Kelsey Mitchell draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Aari McDonald shooting foul (Azurá Stevens draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Aliyah Boston personal foul (Loose ball) (Dearica Hamby draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Kelsey Mitchell personal foul (Kelsey Plum draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Azurá Stevens shooting foul (Natasha Howard draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Azurá Stevens personal foul (Kelsey Mitchell draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Sophie Cunningham shooting foul (Dearica Hamby draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Emma Cannon personal foul (Aliyah Boston draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Sarah Ashlee Barker personal foul (Aliyah Boston draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Sarah Ashlee Barker personal foul (Aari McDonald draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Shey Peddy shooting foul (Aari McDonald draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Emma Cannon personal foul (Loose ball) (Natasha Howard draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Kelsey Plum shooting foul (Aari McDonald draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Brianna Turner shooting foul (Liatu King draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Aari McDonald personal foul (Mercedes Russell draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Brianna Turner personal foul (Kelsey Plum draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,offensivefoul,foul,Liatu King offensive foul (Aari McDonald draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Shey Peddy shooting foul (Aari McDonald draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Natasha Howard shooting foul (Azurá Stevens draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,offensivefoul,foul,Aliyah Boston offensive foul (Dearica Hamby draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Rickea Jackson personal foul (Sophie Cunningham draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Kelsey Mitchell shooting foul (Azurá Stevens draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Rickea Jackson personal foul (Natasha Howard draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Sydney Colson personal foul (Kelsey Plum draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,personalfoul,foul,Azurá Stevens personal foul (Aliyah Boston draws the foul)
03c66dd6-d190-41d7-bb90-7709c8c6493b,shootingfoul,foul,Aliyah Boston shooting foul (Dearica Hamby draws the foul)
