playerId,playerName,teamId,pos,seasonKey
player_jonquel_jones,Jonquel Jones,NYL,C,jonquel_jones|NYL
player_elizabeth_kitley,Elizabeth Kitley,LVA,C,elizabeth_kitley|LVA
player_anastasiia_kosu,Anastasiia Kosu,MIN,F,anastasiia_kosu|MIN
player_le_la_lacan,Leïla Lacan,CON,G,le_la_lacan|CON
player_kitija_laksa,Kitija Laksa,PHO,G,kitija_laksa|PHO
player_kyra_lambert,Kyra Lambert,IND,G,kyra_lambert|IND
player_carla_leite,Carla Leite,GSV,G,carla_leite|GSV
player_kyara_linskens,Kyara Linskens,GSV,C,kyara_linskens|GSV
player_jewell_loyd,Jewell Loyd,LVA,G,jewell_loyd|LVA
player_marina_mabrey,Marina Mabrey,CON,G,marina_mabrey|CON
player_natasha_mack,Natasha Mack,PHO,F-C,natasha_mack|PHO
player_ezi_magbegor,Ezi Magbegor,SEA,F-C,ezi_magbegor|SEA
player_dominique_malonga,Dominique Malonga,SEA,C,dominique_malonga|SEA
player_rayah_marshall,Rayah Marshall,CON,C-F,rayah_marshall|CON
player_kate_martin,Kate Martin,GSV,G,kate_martin|GSV
player_kayla_mcbride,Kayla McBride,MIN,G,kayla_mcbride|MIN
player_megan_mcconnell,Megan McConnell,PHO,G,megan_mcconnell|PHO
player_teaira_mccowan,Teaira McCowan,DAL,C,teaira_mccowan|DAL
player_aari_mcdonald,Aari McDonald,IND,G,aari_mcdonald|IND
player_emma_meesseman,Emma Meesseman,NYL,F,emma_meesseman|NYL
player_jade_melbourne,Jade Melbourne,WAS,G,jade_melbourne|WAS
player_kelsey_mitchell,Kelsey Mitchell,IND,G,kelsey_mitchell|IND
player_aneesah_morrow,Aneesah Morrow,CON,F,aneesah_morrow|CON
player_murjanatu_musa,Murjanatu Musa,PHO,C,murjanatu_musa|PHO
player_olivia_nelson_ododa,Olivia Nelson-Ododa,CON,C,olivia_nelson_ododa|CON
player_kia_nurse,Kia Nurse,CHI,G,kia_nurse|CHI
player_aaliyah_nye,Aaliyah Nye,LVA,G-F,aaliyah_nye|LVA
player_arike_ogunbowale,Arike Ogunbowale,DAL,G,arike_ogunbowale|DAL
player_nneka_ogwumike,Nneka Ogwumike,SEA,F,nneka_ogwumike|SEA
player_amy_okonkwo,Amy Okonkwo,DAL,F,amy_okonkwo|DAL
player_lucy_olsen,Lucy Olsen,WAS,G,lucy_olsen|WAS
player_michaela_onyenwere,Michaela Onyenwere,CHI,F,michaela_onyenwere|CHI
player_te_hina_paopao,Te-Hina PaoPao,ATL,G,te_hina_paopao|ATL
player_cheyenne_parker_tyus,Cheyenne Parker-Tyus,LVA,F,cheyenne_parker_tyus|LVA
player_robyn_parks,Robyn Parks,CON,F,robyn_parks|CON
player_haley_peters,Haley Peters,CON,F-G,haley_peters|CON
player_ajae_petty,Ajae Petty,DAL,F,ajae_petty|DAL
player_kelsey_plum,Kelsey Plum,LAS,G,kelsey_plum|LAS
player_alexis_prince,Alexis Prince,PHO,F,alexis_prince|PHO
player_jj_quinerly,JJ Quinerly,DAL,G,jj_quinerly|DAL
player_angel_reese,Angel Reese,CHI,F,angel_reese|CHI
player_saniya_rivers,Saniya Rivers,CON,G,saniya_rivers|CON
player_iliana_rupert,Iliana Rupert,GSV,C,iliana_rupert|GSV
player_mercedes_russell,Mercedes Russell,LAS,C,mercedes_russell|LAS
player_nyara_sabally,Nyara Sabally,NYL,C,nyara_sabally|NYL
player_satou_sabally,Satou Sabally,PHO,F,satou_sabally|PHO
player_janelle_sala_n,Janelle Salaün,GSV,F,janelle_sala_n|GSV
player_karlie_samuelson,Karlie Samuelson,MIN,G,karlie_samuelson|MIN
player_madison_scott,Madison Scott,WAS,G-F,madison_scott|WAS
player_jessica_shepard,Jessica Shepard,MIN,F,jessica_shepard|MIN
player_maddy_siegrist,Maddy Siegrist,DAL,F,maddy_siegrist|DAL
player_kamiah_smalls,Kamiah Smalls,ATL,G,kamiah_smalls|ATL
player_alanna_smith,Alanna Smith,MIN,F,alanna_smith|MIN
player_azura_stevens,Azura Stevens,LAS,F-C,azura_stevens|LAS
player_breanna_stewart,Breanna Stewart,NYL,F,breanna_stewart|NYL
player_kiah_stokes,Kiah Stokes,LVA,C,kiah_stokes|LVA
player_serena_sundell,Serena Sundell,DAL,G,serena_sundell|DAL
player_sug_sutton,Sug Sutton,WAS,G,sug_sutton|WAS
player_camryn_taylor,Camryn Taylor,MIN,F,camryn_taylor|MIN
player_taylor_thierry,Taylor Thierry,ATL,G-F,taylor_thierry|ATL
player_alyssa_thomas,Alyssa Thomas,PHO,F,alyssa_thomas|PHO
player_kayla_thornton,Kayla Thornton,GSV,F,kayla_thornton|GSV
player_makayla_timpson,Makayla Timpson,IND,F-C,makayla_timpson|IND
player_mamignan_tour,Mamignan Touré,CON,G,mamignan_tour|CON
player_brianna_turner,Brianna Turner,IND,F-C,brianna_turner|IND
player_maria_kliundikova,Maria Kliundikova,MIN,F,maria_kliundikova|MIN
player_courtney_vandersloot,Courtney Vandersloot,CHI,G,courtney_vandersloot|CHI
