playerid,playername,teamid,pos,seasonkey,age
player_lexie_hull,Lexie Hull,IND,G,lexie_hull|IND,26.0
player_sabrina_ionescu,Sabrina Ionescu,NYL,G,sabrina_ionescu|NYL,28.0
player_kiki_iriafen,Kiki Iriafen,WAS,F,kiki_iriafen|WAS,22.0
player_rickea_jackson,Rickea Jackson,LAS,F,rickea_jackson|LAS,24.0
player_aziaha_james,Aziaha James,DAL,G,aziaha_james|DAL,23.0
player_moriah_jefferson,Moriah Jefferson,CHI,G,moriah_jefferson|CHI,31.0
player_marine_johannes,Marine Johannes,NYL,G,marine_johannes|NYL,31.0
player_brionna_jones,Brionna Jones,ATL,F,brionna_jones|ATL,30.0
player_jonquel_jones,Jonquel Jones,NYL,C,jonquel_jones|NYL,32.0
player_elizabeth_kitley,Elizabeth Kitley,LVA,C,elizabeth_kitley|LVA,24.0
player_anastasiia_kosu,Anastasiia Kosu,MIN,F,anastasiia_kosu|MIN,
player_le_la_lacan,Leïla Lacan,CON,G,le_la_lacan|CON,21.0
player_kitija_laksa,Kitija Laksa,PHO,G,kitija_laksa|PHO,29.0
player_kyra_lambert,Kyra Lambert,IND,G,kyra_lambert|IND,29.0
player_carla_leite,Carla Leite,GSV,G,carla_leite|GSV,21.0
player_kyara_linskens,Kyara Linskens,GSV,C,kyara_linskens|GSV,29.0
player_jewell_loyd,Jewell Loyd,LVA,G,jewell_loyd|LVA,32.0
player_marina_mabrey,Marina Mabrey,CON,G,marina_mabrey|CON,29.0
player_natasha_mack,Natasha Mack,PHO,F-C,natasha_mack|PHO,28.0
player_ezi_magbegor,Ezi Magbegor,SEA,F-C,ezi_magbegor|SEA,26.0
player_dominique_malonga,Dominique Malonga,SEA,C,dominique_malonga|SEA,20.0
player_rayah_marshall,Rayah Marshall,CON,C-F,rayah_marshall|CON,22.0
player_kate_martin,Kate Martin,GSV,G,kate_martin|GSV,25.0
player_kayla_mcbride,Kayla McBride,MIN,G,kayla_mcbride|MIN,33.0
player_megan_mcconnell,Megan McConnell,PHO,G,megan_mcconnell|PHO,24.0
player_teaira_mccowan,Teaira McCowan,DAL,C,teaira_mccowan|DAL,29.0
player_aari_mcdonald,Aari McDonald,IND,G,aari_mcdonald|IND,27.0
player_emma_meesseman,Emma Meesseman,NYL,F,emma_meesseman|NYL,32.0
player_jade_melbourne,Jade Melbourne,WAS,G,jade_melbourne|WAS,23.0
player_kelsey_mitchell,Kelsey Mitchell,IND,G,kelsey_mitchell|IND,30.0
player_aneesah_morrow,Aneesah Morrow,CON,F,aneesah_morrow|CON,23.0
player_murjanatu_musa,Murjanatu Musa,PHO,C,murjanatu_musa|PHO,25.0
player_olivia_nelson_ododa,Olivia Nelson-Ododa,CON,C,olivia_nelson_ododa|CON,25.0
player_kia_nurse,Kia Nurse,CHI,G,kia_nurse|CHI,29.0
player_aaliyah_nye,Aaliyah Nye,LVA,G-F,aaliyah_nye|LVA,23.0
player_arike_ogunbowale,Arike Ogunbowale,DAL,G,arike_ogunbowale|DAL,28.0
player_nneka_ogwumike,Nneka Ogwumike,SEA,F,nneka_ogwumike|SEA,35.0
player_amy_okonkwo,Amy Okonkwo,DAL,F,amy_okonkwo|DAL,29.0
player_lucy_olsen,Lucy Olsen,WAS,G,lucy_olsen|WAS,22.0
player_michaela_onyenwere,Michaela Onyenwere,CHI,F,michaela_onyenwere|CHI,26.0
