PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
394,Brittney Griner,ATL,C,39,810,382,203,33,5,47,5,51.8,76.5,59,36,167,19,26.3,156,301,65,85
799,Naz Hillmon,ATL,F,44,1122,380,271,105,21,19,53,46.3,83.1,50,69,202,165,32.1,139,300,49,59
1007,Saniya Rivers,CON,G,42,1097,371,118,113,62,38,43,40.7,74.6,62,29,89,126,34.1,142,349,44,59
233,Elizabeth Williams,CHI,F,43,906,364,223,78,31,39,0,48.0,61.7,56,79,144,0,0.0,157,327,50,81
585,Ezi Magbegor,SEA,F,44,1203,353,272,92,30,96,14,49.3,68.7,43,85,187,48,29.2,141,286,57,83
372,Bria Hartley,CON,G,38,867,337,75,117,29,0,54,36.2,77.2,69,11,64,147,36.7,106,293,71,92
856,Maddy Siegrist,DAL,F,26,702,330,111,21,19,15,26,49.1,69.0,14,52,59,81,32.1,132,269,40,58
980,Dominique Malonga,SEA,C,42,600,323,195,36,17,28,4,55.1,56.9,48,54,141,18,22.2,145,263,29,51
687,Leonie Fiebich,NYL,F,37,1041,321,131,64,34,14,51,48.9,87.1,45,23,108,120,42.5,108,221,54,62
586,Jessica Shepard,MIN,F,40,835,320,293,104,19,4,0,63.8,54.4,58,92,201,1,0.0,132,207,56,103
706,Sug Sutton,WAS,G,43,1122,317,77,166,33,3,42,42.2,77.1,83,8,69,119,35.3,119,282,37,48
809,Lexie Hull,IND,G,44,1189,317,190,79,51,7,55,39.5,72.2,41,62,128,150,36.7,118,299,26,36
489,Kia Nurse,CHI,G,44,962,316,103,55,14,2,61,35.4,79.0,55,18,85,182,33.5,103,291,49,62
977,Monique Akoa Makani,PHO,G,41,881,315,91,111,32,3,49,43.0,92.7,55,25,66,123,39.8,114,265,38,41
998,Aneesah Morrow,CON,F,41,775,314,282,21,32,18,18,37.5,75.8,45,84,198,75,24.0,112,299,72,95
485,Jordin Canada,ATL,G,28,783,314,91,159,48,9,25,39.6,76.0,62,8,83,86,29.1,108,273,73,96
291,Kayla Thornton,GSV,F,22,662,308,154,33,29,5,40,36.2,82.9,36,40,114,142,28.2,100,276,68,82
807,Olivia Nelson-Ododa,CON,C,37,800,305,184,34,27,43,1,52.6,70.3,40,60,124,2,50.0,113,215,78,111
229,Tiffany Hayes,GSV,G,26,700,303,100,77,14,4,41,41.8,80.0,49,18,82,101,40.6,99,237,64,80
501,Myisha Hines-Allen,DAL,F,40,882,302,240,116,32,18,16,44.8,74.7,87,58,182,60,26.7,112,250,62,83
724,Dana Evans,LVA,G,44,777,291,47,96,17,5,37,39.2,75.5,37,8,39,100,37.0,107,273,40,53
599,Kennedy Burke,NYL,G,36,779,291,85,45,28,16,46,46.8,75.9,34,21,64,111,41.4,102,218,41,54
