playerName,rim_fgm,rim_fga,paint_fgm,paint_fga,mid_fgm,mid_fga,corner3_fgm,corner3_fga,ab3_fgm,ab3_fga,three_fgm,three_fga,total_fgm,total_fga,rim_fg,paint_fg,mid_fg,corner3_fg,ab3_fg,three_fg,total_fg,rim_att_share,paint_att_share,mid_att_share,corner3_att_share,ab3_att_share,three_att_share,age,playerId,teamId,pos
A'ja Wilson,91.0,130.0,150.0,323.0,66.0,146.0,2.0,4.0,23,55,25.0,59.0,332.0,658.0,0.7,0.46439628482972134,0.4520547945205479,0.5,0.41818181818181815,0.423728813559322,0.5045592705167173,0.19756838905775076,0.4908814589665654,0.22188449848024316,0.0060790273556231,0.08358662613981763,0.08966565349544073,29,player_a_ja_wilson,LVA,C
Aaliyah Edwards,43.0,71.0,19.0,44.0,7.0,30.0,0.0,3.0,0,6,0.0,9.0,69.0,154.0,0.6056338028169014,0.4318181818181818,0.23333333333333334,0.0,0.0,0.0,0.44805194805194803,0.461038961038961,0.2857142857142857,0.19480519480519481,0.01948051948051948,0.03896103896103896,0.05844155844155844,23,player_aaliyah_edwards,CON,F
Aaliyah Nye,9.0,20.0,11.0,23.0,2.0,10.0,11.0,30.0,26,88,37.0,118.0,59.0,171.0,0.45,0.4782608695652174,0.2,0.36666666666666664,0.29545454545454547,0.3135593220338983,0.34502923976608185,0.11695906432748537,0.13450292397660818,0.05847953216374269,0.17543859649122806,0.5146198830409356,0.6900584795321637,23,player_aaliyah_nye,LVA,G-F
Aari McDonald,31.0,47.0,6.0,19.0,5.0,10.0,1.0,3.0,23,75,24.0,78.0,66.0,154.0,0.6595744680851063,0.3157894736842105,0.5,0.3333333333333333,0.30666666666666664,0.3076923076923077,0.42857142857142855,0.3051948051948052,0.12337662337662338,0.06493506493506493,0.01948051948051948,0.487012987012987,0.5064935064935064,27,player_aari_mcdonald,IND,G
Aerial Powers,11.0,16.0,5.0,17.0,4.0,13.0,0.0,1.0,7,18,7.0,19.0,27.0,65.0,0.6875,0.29411764705882354,0.3076923076923077,0.0,0.3888888888888889,0.3684210526315789,0.4153846153846154,0.24615384615384617,0.26153846153846155,0.2,0.015384615384615385,0.27692307692307694,0.2923076923076923,32,player_aerial_powers,GSV,G
Ajae Petty,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,23,player_ajae_petty,DAL,F
Alanna Smith,87.0,131.0,11.0,21.0,9.0,17.0,12.0,24.0,41,137,53.0,161.0,160.0,330.0,0.6641221374045801,0.5238095238095238,0.5294117647058824,0.5,0.29927007299270075,0.32919254658385094,0.48484848484848486,0.396969696969697,0.06363636363636363,0.051515151515151514,0.07272727272727272,0.41515151515151516,0.48787878787878786,29,player_alanna_smith,MIN,F
Alexis Prince,0.0,0.0,1.0,1.0,0.0,1.0,,,0,1,,,,,,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32,player_alexis_prince,PHO,F
Alissa Pili,8.0,14.0,0.0,0.0,1.0,2.0,1.0,2.0,3,10,4.0,12.0,13.0,28.0,0.5714285714285714,,0.5,0.5,0.3,0.3333333333333333,0.4642857142857143,0.5,0.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.42857142857142855,24,player_alissa_pili,LAS,F
Aliyah Boston,158.0,256.0,76.0,161.0,31.0,58.0,0.0,3.0,6,25,6.0,28.0,271.0,503.0,0.6171875,0.4720496894409938,0.5344827586206896,0.0,0.24,0.21428571428571427,0.5387673956262425,0.5089463220675944,0.32007952286282304,0.11530815109343936,0.005964214711729622,0.04970178926441352,0.055666003976143144,24,player_aliyah_boston,IND,C-F
Allisha Gray,90.0,147.0,45.0,110.0,13.0,34.0,1.0,9.0,97,246,98.0,255.0,246.0,546.0,0.6122448979591837,0.4090909090909091,0.38235294117647056,0.1111111111111111,0.3943089430894309,0.3843137254901961,0.45054945054945056,0.2692307692307692,0.20146520146520147,0.06227106227106227,0.016483516483516484,0.45054945054945056,0.46703296703296704,31,player_allisha_gray,ATL,G
Alysha Clark,16.0,27.0,16.0,27.0,1.0,9.0,8.0,23.0,18,73,26.0,96.0,59.0,159.0,0.5925925925925926,0.5925925925925926,0.1111111111111111,0.34782608695652173,0.2465753424657534,0.2708333333333333,0.3710691823899371,0.16981132075471697,0.16981132075471697,0.05660377358490566,0.14465408805031446,0.4591194968553459,0.6037735849056604,38,player_alysha_clark,WAS,F
Alyssa Thomas,109.0,162.0,102.0,221.0,30.0,64.0,,,0,5,,,,,0.6728395061728395,0.46153846153846156,0.46875,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33,player_alyssa_thomas,PHO,F
Amy Okonkwo,12.0,15.0,6.0,13.0,2.0,3.0,1.0,1.0,9,29,10.0,30.0,30.0,61.0,0.8,0.46153846153846156,0.6666666666666666,1.0,0.3103448275862069,0.3333333333333333,0.4918032786885246,0.2459016393442623,0.21311475409836064,0.04918032786885246,0.01639344262295082,0.47540983606557374,0.4918032786885246,29,player_amy_okonkwo,DAL,F
Anastasiia Olairi Kosu,11.0,16.0,2.0,11.0,0.0,0.0,0.0,1.0,0,1,0.0,2.0,13.0,29.0,0.6875,0.18181818181818182,,0.0,0.0,0.0,0.4482758620689655,0.5517241379310345,0.3793103448275862,0.0,0.034482758620689655,0.034482758620689655,0.06896551724137931,20,,,
Aneesah Morrow,59.0,116.0,21.0,65.0,14.0,43.0,0.0,5.0,18,70,18.0,75.0,112.0,299.0,0.5086206896551724,0.3230769230769231,0.32558139534883723,0.0,0.2571428571428571,0.24,0.3745819397993311,0.3879598662207358,0.21739130434782608,0.14381270903010032,0.016722408026755852,0.23411371237458195,0.2508361204013378,23,player_aneesah_morrow,CON,F
Angel Reese,116.0,229.0,28.0,70.0,5.0,13.0,0.0,3.0,4,19,4.0,22.0,153.0,334.0,0.5065502183406113,0.4,0.38461538461538464,0.0,0.21052631578947367,0.18181818181818182,0.45808383233532934,0.6856287425149701,0.20958083832335328,0.038922155688622756,0.008982035928143712,0.05688622754491018,0.0658682634730539,23,player_angel_reese,CHI,F
Ariel Atkins,22.0,45.0,45.0,86.0,52.0,115.0,7.0,14.0,36,104,43.0,118.0,162.0,364.0,0.4888888888888889,0.5232558139534884,0.45217391304347826,0.5,0.34615384615384615,0.3644067796610169,0.44505494505494503,0.12362637362637363,0.23626373626373626,0.3159340659340659,0.038461538461538464,0.2857142857142857,0.3241758241758242,29,player_ariel_atkins,CHI,G
