playerId,g,mpg,starterFlag,usageProxyPer36
player_erica_wheeler,44,25.591,1,0.367
player_sami_whitcomb,43,23.884,,0.350
player_christyn_williams,4,11.250,,3.968
player_courtney_williams,44,28.636,1,0.458
player_elizabeth_williams,43,21.070,,0.387
player_gabby_williams,44,31.614,1,0.345
player_kiana_williams,11,9.727,,1.439
player_a_ja_wilson,40,31.175,1,0.633
player_jackie_young,44,30.364,1,0.431
player_cecilia_zandalasini,19,23.684,1,0.796
player_grace_berger,19,22.000,1,0.530
player_chloe_bibby,14,11.000,,1.090
player_dewanna_bonner,33,23.576,,0.451
player_dijonai_carrington,31,21.935,,0.632
player_kaila_charles,35,17.600,,0.416
player_alysha_clark,42,19.714,,0.198
player_marquesha_davis,11,4.727,,1.152
player_aaliyah_edwards,36,14.833,,0.435
player_bree_hall,4,4.250,,5.192
player_haley_jones,28,21.214,1,0.544
player_liatu_king,14,9.714,,0.843
player_sika_kon,19,4.474,,0.766
player_diamond_miller,40,10.850,,0.400
player_tiffany_mitchell,39,13.077,,0.263
player_shey_peddy,15,17.667,,0.661
player_alissa_pili,19,5.211,,0.819
player_aerial_powers,10,16.700,,1.819
player_jacy_sheldon,30,23.600,1,0.369
player_jaylyn_sherrod,26,5.462,,0.461
player_odyssey_sims,24,27.958,1,0.612
player_nalyssa_smith,45,21.244,1,0.303
player_brittney_sykes,39,30.615,1,0.502
player_stephanie_talbot,38,14.237,,0.273
player_sevgi_uzun,25,17.560,,0.473
player_julie_vanloo,35,12.829,,0.379
player_li_yueru,31,16.742,,0.458
