season,playerId,playerName,teamId,pos,g,mp,onCourt_plusMinus_per100,onOff_plusMinus_per100,tov_badPass,tov_lostBall,tov_shoot,tov_offensiveFoulOrOther,foulsCommitted_shooting,foulsCommitted_offensive,misc_pga,misc_and1,misc_blkd,oldPlayerId,oldTeamId
2025,player_courtney_williams,Courtney Williams,MIN,G,44,1260,13.2,2.8,71,20,45,4,21,9,636,4,15,bref_min_courtney_williams,MIN
2025,player_crystal_bradford,Crystal Bradford,LVA,F,4,24,-39.7,-44.0,1,0,3,0,0,0,3,0,0,bref_lva_crystal_bradford,LVA
2025,player_damiris_dantas,Damiris Dantas,IND,C-F,38,439,-4.9,-11.9,14,5,27,7,12,1,63,2,10,bref_ind_damiris_dantas,IND
2025,player_dana_evans,Dana Evans,LVA,G,44,777,-3.1,-12.1,31,4,17,0,27,3,232,9,15,bref_lva_dana_evans,LVA
2025,player_dewanna_bonner,DeWanna Bonner,IND,G-F,33,778,0.2,-4.6,14,10,37,1,51,2,88,6,18,bref_tot_dewanna_bonner,TOT
2025,player_dearica_hamby,Dearica Hamby,LAS,F,44,1374,0.3,15.2,57,37,51,14,126,10,344,43,75,bref_las_dearica_hamby,LAS
2025,player_dijonai_carrington,DiJonai Carrington,MIN,G-F,31,680,-7.6,-12.0,42,13,29,2,40,13,111,8,33,bref_tot_dijonai_carrington,TOT
2025,player_diamond_miller,Diamond Miller,DAL,F,40,434,-12.2,-16.2,8,15,28,6,22,2,70,2,11,bref_tot_diamond_miller,TOT
2025,player_dominique_malonga,Dominique Malonga,SEA,C,42,600,-2.4,-7.0,18,7,48,8,24,2,86,4,30,bref_sea_dominique_malonga,SEA
2025,player_elizabeth_kitley,Elizabeth Kitley,LVA,C,12,98,-26.6,-32.1,3,0,8,4,1,0,2,0,4,bref_lva_elizabeth_kitley,LVA
2025,player_elizabeth_williams,Elizabeth Williams,CHI,C-F,43,906,-11.9,2.2,30,14,34,7,37,5,190,6,39,bref_chi_elizabeth_williams,CHI
2025,player_emily_engstler,Emily Engstler,WAS,F,40,512,-5.7,-0.8,23,5,33,6,11,1,130,2,3,bref_was_emily_engstler,WAS
2025,player_emma_cannon,Emma Cannon,LAS,F,21,213,-3.6,-0.5,4,3,8,7,8,5,17,1,3,bref_las_emma_cannon,LAS
2025,player_emma_meesseman,Emma Meesseman,NYL,F,17,440,3.5,-2.3,19,8,15,5,16,0,132,5,7,bref_nyl_emma_meesseman,NYL
2025,player_erica_wheeler,Erica Wheeler,SEA,G,44,1126,3.2,2.7,47,11,47,2,16,16,329,4,15,bref_sea_erica_wheeler,SEA
2025,player_ezi_magbegor,Ezi Magbegor,SEA,F-C,44,1203,2.2,0.1,19,7,73,11,40,1,210,6,29,bref_sea_ezi_magbegor,SEA
2025,player_gabby_williams,Gabby Williams,SEA,F,44,1391,5.2,14.0,53,23,34,4,37,6,430,12,20,bref_sea_gabby_williams,SEA
2025,player_grace_berger,Grace Berger,LAS,G,19,418,-16.1,-11.8,16,3,16,2,8,2,138,3,8,bref_tot_grace_berger,TOT
2025,player_hailey_van_lith,Hailey Van Lith,CHI,G,29,361,-12.6,0.4,25,5,10,1,13,1,107,2,9,bref_chi_hailey_van_lith,CHI
2025,player_haley_jones,Haley Jones,PHO,F-G,28,594,-9.3,-8.4,25,11,45,8,21,0,142,9,19,bref_tot_haley_jones,TOT
2025,player_haley_peters,Haley Peters,CON,F-G,33,380,-15.1,-2.6,11,2,23,6,4,6,61,1,6,bref_con_haley_peters,CON
2025,player_iliana_rupert,Iliana Rupert,GSV,C,21,486,7.5,7.8,7,2,25,8,8,1,79,2,9,bref_gsv_iliana_rupert,GSV
2025,player_isabelle_harrison,Isabelle Harrison,NYL,F,34,360,1.7,-4.4,7,8,23,5,19,1,67,5,13,bref_nyl_isabelle_harrison,NYL
2025,player_jj_quinerly,JJ Quinerly,DAL,G,34,539,-5.5,4.0,30,13,30,1,23,9,182,9,21,bref_dal_jj_quinerly,DAL
2025,player_jackie_young,Jackie Young,LVA,G,44,1336,8.9,21.7,62,20,32,8,54,7,537,16,15,bref_lva_jackie_young,LVA
2025,player_jacy_sheldon,Jacy Sheldon,WAS,G,30,708,-18.5,-11.9,24,3,34,1,10,7,129,4,9,bref_tot_jacy_sheldon,TOT
2025,player_jade_melbourne,Jade Melbourne,WAS,G,43,1008,-8.5,-7.9,47,15,37,3,32,20,279,7,12,bref_was_jade_melbourne,WAS
2025,player_jaelyn_brown,Jaelyn Brown,CON,G-F,10,131,-18.9,-6.3,2,3,10,0,1,2,2,0,0,bref_con_jaelyn_brown,CON
2025,player_janelle_sala_n,Janelle Salaün,GSV,F,36,973,0.0,-4.1,21,14,26,6,25,3,108,5,7,bref_gsv_janelle_sala_n,GSV
2025,player_jaylyn_sherrod,Jaylyn Sherrod,MIN,G,26,142,-7.4,-16.8,7,2,7,1,8,4,28,3,5,bref_tot_jaylyn_sherrod,TOT
2025,player_jessica_shepard,Jessica Shepard,MIN,F,40,835,9.6,-5.3,25,13,16,8,45,4,242,13,18,bref_min_jessica_shepard,MIN
