playerId,playerName,seasonKey
player_ajae_petty,Ajae Petty,ajae_petty|
player_kelsey_plum,Kelsey Plum,kelsey_plum|
player_alexis_prince,Alexis Prince,alexis_prince|
player_jj_quinerly,JJ Quinerly,jj_quinerly|
player_angel_reese,Angel Reese,angel_reese|
player_saniya_rivers,Saniya Rivers,saniya_rivers|
player_iliana_rupert,Iliana Rupert,iliana_rupert|
player_mercedes_russell,Mercedes Russell,mercedes_russell|
player_nyara_sabally,Nyara Sabally,nyara_sabally|
player_satou_sabally,Satou Sabally,satou_sabally|
player_janelle_sala_n,Janelle Salaün,janelle_sala_n|
player_karlie_samuelson,Karlie Samuelson,karlie_samuelson|
player_madison_scott,Madison Scott,madison_scott|
player_jessica_shepard,Jessica Shepard,jessica_shepard|
player_maddy_siegrist,Maddy Siegrist,maddy_siegrist|
player_kamiah_smalls,Kamiah Smalls,kamiah_smalls|
player_alanna_smith,Alanna Smith,alanna_smith|
player_azura_stevens,Azura Stevens,azura_stevens|
player_breanna_stewart,Breanna Stewart,breanna_stewart|
player_kiah_stokes,Kiah Stokes,kiah_stokes|
player_serena_sundell,Serena Sundell,serena_sundell|
player_sug_sutton,Sug Sutton,sug_sutton|
player_camryn_taylor,Camryn Taylor,camryn_taylor|
player_taylor_thierry,Taylor Thierry,taylor_thierry|
player_alyssa_thomas,Alyssa Thomas,alyssa_thomas|
player_kayla_thornton,Kayla Thornton,kayla_thornton|
player_makayla_timpson,Makayla Timpson,makayla_timpson|
player_mamignan_tour,Mamignan Touré,mamignan_tour|
player_brianna_turner,Brianna Turner,brianna_turner|
player_maria_kliundikova,Maria Kliundikova,maria_kliundikova|
player_courtney_vandersloot,Courtney Vandersloot,courtney_vandersloot|
player_hailey_van_lith,Hailey Van Lith,hailey_van_lith|
player_shatori_walker_kimbrough,Shatori Walker-Kimbrough,shatori_walker_kimbrough|
player_kathryn_westbeld,Kathryn Westbeld,kathryn_westbeld|
player_maddy_westbeld,Maddy Westbeld,maddy_westbeld|
player_erica_wheeler,Erica Wheeler,erica_wheeler|
player_sami_whitcomb,Sami Whitcomb,sami_whitcomb|
player_christyn_williams,Christyn Williams,christyn_williams|
player_courtney_williams,Courtney Williams,courtney_williams|
player_elizabeth_williams,Elizabeth Williams,elizabeth_williams|
player_gabby_williams,Gabby Williams,gabby_williams|
player_kiana_williams,Kiana Williams,kiana_williams|
player_a_ja_wilson,A'ja Wilson,a_ja_wilson|
player_jackie_young,Jackie Young,jackie_young|
player_cecilia_zandalasini,Cecilia Zandalasini,cecilia_zandalasini|
player_grace_berger,Grace Berger,grace_berger|
player_chloe_bibby,Chloe Bibby,chloe_bibby|
player_dewanna_bonner,DeWanna Bonner,dewanna_bonner|
player_dijonai_carrington,DiJonai Carrington,dijonai_carrington|
player_kaila_charles,Kaila Charles,kaila_charles|
player_alysha_clark,Alysha Clark,alysha_clark|
player_marquesha_davis,Marquesha Davis,marquesha_davis|
player_aaliyah_edwards,Aaliyah Edwards,aaliyah_edwards|
player_bree_hall,Bree Hall,bree_hall|
player_haley_jones,Haley Jones,haley_jones|
player_liatu_king,Liatu King,liatu_king|
player_sika_kon,Sika Koné,sika_kon|
