playerId,fg,fga,fgPct,fg3,fg3a,fg3Pct,fg2,fg2a,fg2Pct,ft,fta,ftPct,pts
player_alyssa_thomas,6.2,11.6,53.20,0.0,0.2,0.00,6.2,11.5,53.90,3.0,4.3,69.20,15.4
player_kayla_thornton,4.5,12.5,36.20,1.8,6.5,28.20,2.7,6.1,44.80,3.1,3.7,82.90,14.0
player_makayla_timpson,1.0,1.8,56.10,0.0,0.0,nan,1.0,1.8,56.10,0.6,0.9,66.70,2.6
player_mamignan_tour,0.8,2.2,35.90,0.4,1.2,36.40,0.3,0.9,35.30,0.0,0.0,nan,2.0
player_brianna_turner,0.5,1.2,40.60,0.0,0.0,0.00,0.5,1.1,41.90,0.1,0.3,50.00,1.1
player_maria_kliundikova,1.9,3.8,50.00,0.2,0.7,32.00,1.6,3.0,54.40,0.4,0.6,57.10,4.4
player_courtney_vandersloot,4.1,9.4,43.90,0.7,3.3,21.70,3.4,6.1,55.80,1.6,1.9,84.60,10.6
player_hailey_van_lith,1.3,3.8,33.90,0.2,1.1,16.10,1.1,2.7,41.00,0.8,1.1,74.20,3.5
player_shatori_walker_kimbrough,0.6,1.5,41.30,0.3,0.8,35.50,0.4,0.8,46.90,0.2,0.3,72.70,1.7
player_kathryn_westbeld,1.8,5.0,35.80,1.0,3.0,32.10,0.8,2.0,41.70,0.6,0.7,78.10,5.1
player_maddy_westbeld,1.5,4.0,36.20,0.7,1.7,39.50,0.8,2.4,33.90,0.5,0.6,87.50,4.1
player_erica_wheeler,3.8,9.5,40.00,1.7,4.6,37.30,2.1,4.9,42.60,1.0,1.1,86.00,10.3
player_sami_whitcomb,3.0,7.8,38.50,2.0,5.5,36.10,1.0,2.3,44.30,1.1,1.3,85.20,9.1
player_christyn_williams,1.5,4.0,37.50,0.3,1.0,25.00,1.3,3.0,41.70,1.0,1.5,66.70,4.3
player_courtney_williams,5.6,13.2,42.80,1.3,3.4,38.90,4.3,9.8,44.10,1.0,1.2,84.90,13.6
player_elizabeth_williams,3.7,7.6,48.00,0.0,0.0,nan,3.7,7.6,48.00,1.2,1.9,61.70,8.5
player_gabby_williams,4.5,10.7,42.20,1.1,3.7,30.50,3.4,6.9,48.50,1.5,1.7,85.30,11.6
player_kiana_williams,1.5,3.6,42.50,0.8,2.4,34.60,0.7,1.3,57.10,0.2,0.4,50.00,4.1
player_a_ja_wilson,8.3,16.5,50.50,0.6,1.5,42.40,7.7,15.0,51.30,6.2,7.3,85.50,23.4
player_jackie_young,5.9,12.4,47.50,1.8,5.1,35.90,4.1,7.4,55.60,2.9,3.2,89.40,16.5
player_cecilia_zandalasini,3.5,7.9,44.70,1.9,4.8,40.70,1.6,3.1,50.80,1.5,1.7,87.50,10.5
player_grace_berger,1.4,4.7,29.20,0.1,1.2,8.70,1.3,3.5,36.40,0.5,0.8,66.70,3.4
player_chloe_bibby,1.5,3.9,38.20,1.2,3.0,40.50,0.3,0.9,30.80,0.6,0.6,88.90,4.8
player_dewanna_bonner,3.2,7.8,40.90,1.2,3.6,33.30,2.0,4.2,47.40,2.3,2.6,87.20,9.8
player_dijonai_carrington,3.5,8.9,38.60,0.7,2.3,31.90,2.7,6.6,41.00,2.1,2.6,80.50,9.8
player_kaila_charles,2.3,5.4,42.00,0.7,2.1,34.70,1.5,3.3,46.60,1.1,1.4,81.60,6.4
player_alysha_clark,1.4,3.8,37.10,0.6,2.3,27.10,0.8,1.5,52.40,0.5,0.6,73.10,3.9
player_marquesha_davis,0.2,0.9,20.00,0.0,0.4,0.00,0.2,0.5,33.30,0.5,0.6,85.70,0.9
player_aaliyah_edwards,1.9,4.3,44.80,0.0,0.3,0.00,1.9,4.0,47.60,1.6,2.4,64.40,5.4
player_bree_hall,0.3,1.3,20.00,0.0,0.5,0.00,0.3,0.8,33.30,0.3,0.8,33.30,0.8
player_haley_jones,3.0,6.7,45.20,0.4,1.4,30.80,2.6,5.3,49.00,0.8,1.3,62.90,7.3
player_liatu_king,0.9,1.9,48.10,0.1,0.4,16.70,0.9,1.5,57.10,0.8,1.1,73.30,2.7
player_sika_kon,0.4,1.2,31.80,0.1,0.3,20.00,0.3,0.9,35.30,0.6,0.7,92.30,1.4
player_diamond_miller,1.4,3.4,40.30,0.4,1.3,33.30,0.9,2.1,44.60,0.9,1.2,76.10,4.0
player_tiffany_mitchell,1.0,2.6,39.20,0.3,0.8,36.70,0.7,1.8,40.30,0.9,1.2,74.50,3.2
player_shey_peddy,1.8,3.7,49.10,1.1,2.3,45.70,0.7,1.3,55.00,0.5,0.6,77.80,5.1
player_alissa_pili,0.7,1.5,46.40,0.2,0.6,33.30,0.5,0.8,56.30,0.7,0.8,86.70,2.3
player_aerial_powers,2.7,6.5,41.50,0.7,1.9,36.80,2.0,4.6,43.50,1.3,1.9,68.40,7.4
player_jacy_sheldon,2.8,5.9,46.60,1.2,3.0,39.60,1.6,2.9,54.00,0.7,0.8,88.00,7.5
player_jaylyn_sherrod,0.3,1.1,32.10,0.1,0.5,23.10,0.2,0.6,40.00,0.3,0.5,69.20,1.2
player_odyssey_sims,3.7,9.0,41.40,0.9,2.7,32.80,2.8,6.3,45.00,1.8,2.3,78.20,10.1
player_nalyssa_smith,3.0,5.9,50.20,0.2,0.6,29.60,2.8,5.3,52.50,1.5,2.4,61.10,7.6
player_brittney_sykes,4.5,11.7,38.10,0.8,2.6,30.40,3.7,9.1,40.30,4.4,5.6,78.10,14.1
player_stephanie_talbot,1.0,2.7,37.50,0.4,1.5,28.60,0.6,1.3,47.90,0.5,0.7,64.30,2.9
player_sevgi_uzun,1.2,3.8,32.60,0.2,1.2,16.70,1.0,2.6,40.00,0.4,0.6,68.80,3.1
player_julie_vanloo,0.9,3.2,29.70,0.7,2.6,27.20,0.2,0.5,42.10,0.2,0.3,80.00,2.8
player_li_yueru,2.0,4.9,40.50,0.6,1.8,36.40,1.4,3.2,42.90,1.4,1.6,86.00,6.0
