sr_player_uuid,sr_player_name,name_norm,teamId,sr_team_uuid,canonical_playerId,phase0_teamId,phase0_playerName,team_match,has_playerId
29a8b1d2-db3b-4035-a635-9d559bc51a8a,Katie Lou Samuelson,katie lou samuelson,SEA,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,,,,0,0
2c990041-42c2-44de-844c-f50e9a713a4c,Camryn Taylor,camryn taylor,MIN,6f017f37-be96-4bdc-b6d3-0a0429c72e89,player_camryn_taylor,MIN,Camryn Taylor,1,1
2d21f497-2795-432d-b254-5ae9fbbd0096,Caitlin Clark,caitlin clark,IND,f073a15f-0486-4179-b0a3-dfd0294eb595,player_caitlin_clark,IND,Caitlin Clark,1,1
2f1df065-07de-478f-9b37-76546561d8c2,Aaliyah Edwards,aaliyah edwards,CON,a015b02d-845c-40c1-8ef4-844984f47e4d,player_aaliyah_edwards,CON,Aaliyah Edwards,1,1
30d46238-d1eb-476d-a526-4e2203474106,Rachel Banham,rachel banham,CHI,3c409388-ab73-4c7f-953d-3a71062240f6,player_rachel_banham,CHI,Rachel Banham,1,1
3112ab66-5995-4ed1-b460-2b0e5abc2dd1,Kierstan Bell,kierstan bell,LVA,171b097d-01db-4ae8-9d56-035689402ec6,player_kierstan_bell,LVA,Kierstan Bell,1,1
357ea521-789b-4d23-a7ad-f4f539c0d824,Satou Sabally,satou sabally,PHX,0699edf3-5993-4182-b9b4-ec935cbd4fcc,player_satou_sabally,PHO,Satou Sabally,0,1
36211055-b368-4e99-97f2-7080386db4d5,Marina Mabrey,marina mabrey,CON,a015b02d-845c-40c1-8ef4-844984f47e4d,player_marina_mabrey,CON,Marina Mabrey,1,1
3762be5d-d392-4e3b-aea3-9c5e356c7486,Shatori Walker-Kimbrough,shatori walker kimbrough,ATL,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,player_shatori_walker_kimbrough,ATL,Shatori Walker-Kimbrough,1,1
3763f098-4cd1-47ca-8666-6cf9c8b6812b,Taylor Thierry,taylor thierry,ATL,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,player_taylor_thierry,ATL,Taylor Thierry,1,1
3bca6f7c-3910-4f27-9372-db6ccbc64157,Sydney Colson,sydney colson,IND,f073a15f-0486-4179-b0a3-dfd0294eb595,player_sydney_colson,IND,Sydney Colson,1,1
3c606b9a-c914-4e6f-ac4f-81b2600f7755,Dana Evans,dana evans,LVA,171b097d-01db-4ae8-9d56-035689402ec6,player_dana_evans,LVA,Dana Evans,1,1
